Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell AI5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Relief and Interim Assistance to Applicants for SSI/SSP
Monthly Caseload and Expenditure Report
(GR 237)",,,,,,,PART A.  CASELOAD (GENERAL RELIEF AND INTERIM ASSISTANCE),,,,,,PART B.  CASELOAD AND EXPENDITURES,,,,,,,,,,,PART C.  SSI/SSP INTERIM ASSISTANCE,,,,,,,,,,,PART E. NET GENERAL RELIEF EXPENDITURES,
,,,,,,,Adjustment,"1. Cases
brought
forward","2. Cases 
added
during 
month",3. Total cases available during month,4. Cases discontinued during month,5. Cases carried forward to next month,6. Total cases,a. Family cases,b. One-person cases,6. Total cases,a. Family cases,b. One-person cases,6. Total GR,(1) Amount in cash,(2) Amount in kind,a. Family cases,b. One-person cases,7. Cases added during month,8. Total SSA checks disposed of during month,8a. Disposed within 1-10 working days,9. SSA sent SSI/SSP check directly to recipient,10. Denial notice received,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,"11. Reimburse-
ments during the month",11a. SSA check received,11b. Repaid by recipient,,
,,,,,,,,,,,,,"CASES
A",,,"PERSONS
B",,,"AMOUNT
C",,,,,,,,,,"CASES
A",,,"AMOUNT
C",,,"Net General Relief
Expenditure (Column C 
Items 6 - Item 11)",
Jul17,7,2017,Ventura,56,2017-18,2017,-122868,324,63,387,66,321,382,*,378,386,*,378,89185,2288,86897,1260,87925,*,*,*,0,34,68,*,66,19268,16856,2412,69917,
Jul17,7,2017,Yolo,57,2017-18,2017,115,115,24,139,35,104,91,*,88,94,*,88,16827,16827,0,766,16061,0,*,*,0,*,*,*,0,1900,1900,0,14927,
Jul17,7,2017,Yuba,58,2017-18,2017,*,*,*,14,*,11,18,0,18,18,0,18,2414,1734,680,0,2414,0,0,0,0,0,0,0,0,0,0,0,2414,
Aug17,8,2017,Statewide,00,2017-18,2017,2687,92927,30879,123806,28441,95365,128232,2623,125609,131062,5453,125609,29664126,27946018,1718108,736132,28927994,7812,921,918,14,1735,961,875,86,*,3379126,*,*,
Aug17,8,2017,Alameda,01,2017-18,2017,-4,7875,1297,9172,1135,8037,9097,171,8926,9268,342,8926,3138118,3138118,0,89064,3049054,*,66,66,0,191,66,66,0,471162,471162,0,2666956,
Aug17,8,2017,Alpine,02,2017-18,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aug17,8,2017,Amador,03,2017-18,2017,0,*,0,*,*,*,*,0,*,*,0,*,1342,1342,0,0,1342,0,0,0,0,0,*,0,*,2340,0,2340,-998,
Aug17,8,2017,Butte,04,2017-18,2017,0,374,73,447,67,380,447,0,447,447,0,447,148818,148818,0,0,148818,19,12,12,0,0,11,*,*,64083,32892,31191,84735,
Aug17,8,2017,Calaveras,05,2017-18,2017,0,28,*,32,*,27,32,0,32,32,0,32,7500,7350,150,0,7500,*,*,*,0,0,*,*,0,1435,1041,394,6065,
Aug17,8,2017,Colusa,06,2017-18,2017,0,13,0,13,0,13,*,0,*,*,0,*,2178,1545,633,0,2178,0,0,0,0,0,0,0,0,0,0,0,2178,
Aug17,8,2017,Contra Costa,07,2017-18,2017,*,587,198,785,175,610,797,0,797,797,0,797,141478,117658,23820,0,141478,*,12,12,0,68,12,12,0,44049,44049,0,97429,
Aug17,8,2017,Del Norte,08,2017-18,2017,0,*,0,*,0,*,*,0,*,*,0,*,961,0,961,0,961,0,0,0,0,0,0,0,0,0,0,0,961,
Aug17,8,2017,El Dorado,09,2017-18,2017,0,67,24,91,24,67,66,0,66,66,0,66,7121,5984,1137,0,7121,0,0,0,0,0,*,*,0,6142,5687,455,979,
Aug17,8,2017,Fresno,10,2017-18,2017,24,2528,549,3077,446,2631,3235,*,3228,3242,14,3228,722123,722123,0,2480,719643,140,38,38,0,133,38,38,0,106361,106361,0,615762,
Aug17,8,2017,Glenn,11,2017-18,2017,0,14,*,20,*,15,15,0,15,15,0,15,7619,5619,2000,0,7619,0,0,0,0,0,0,0,0,0,0,0,7619,
Aug17,8,2017,Humboldt,12,2017-18,2017,0,146,82,228,55,173,228,0,228,228,0,228,65798,65343,455,0,65798,*,*,*,0,*,*,*,*,18371,12168,6203,47427,
Aug17,8,2017,Imperial,13,2017-18,2017,0,62,*,71,*,67,54,0,54,54,0,54,10202,2778,7424,0,10202,0,0,0,0,0,0,0,0,0,0,0,10202,
Aug17,8,2017,Inyo,14,2017-18,2017,0,30,*,35,*,28,35,0,35,35,0,35,11670,11670,0,0,11670,*,0,0,0,0,0,0,0,0,0,0,11670,
Aug17,8,2017,Kern,15,2017-18,2017,0,731,300,1031,196,835,1007,0,1007,1007,0,1007,258638,258638,0,0,258638,300,11,11,0,42,11,11,0,24863,24753,110,233775,
Aug17,8,2017,Kings,16,2017-18,2017,0,33,14,47,16,31,31,*,30,32,*,30,3150,0,3150,479,2671,0,0,0,0,0,0,0,0,*,0,*,3140,
Aug17,8,2017,Lake,17,2017-18,2017,0,*,0,*,*,*,*,0,*,*,0,*,1026,1026,0,0,1026,0,*,*,0,0,*,*,0,1507,1507,0,-481,
Aug17,8,2017,Lassen,18,2017-18,2017,0,69,13,82,18,64,64,*,62,64,*,62,19876,19876,0,550,19326,*,0,0,0,*,*,0,*,17333,16452,881,2543,
Aug17,8,2017,Los Angeles,19,2017-18,2017,2704,56183,21802,77985,20183,57802,85010,2298,82712,87517,4805,82712,16975804,16791683,184121,549705,16426099,6883,424,424,0,806,424,424,0,1396682,1396682,0,15579122,
Aug17,8,2017,Madera,20,2017-18,2017,0,153,*,162,13,149,128,*,123,133,*,123,31390,31390,0,2570,28820,0,0,0,0,0,*,*,0,1286,1286,0,30104,
Aug17,8,2017,Marin,21,2017-18,2017,-43,574,70,644,62,582,572,0,572,572,0,572,204021,204021,0,0,204021,*,*,*,0,*,*,*,0,7875,6850,1025,196146,
Aug17,8,2017,Mariposa,22,2017-18,2017,0,0,29,29,29,0,29,0,29,29,0,29,6598,6598,0,0,6598,0,0,0,0,0,0,0,0,0,0,0,6598,
Aug17,8,2017,Mendocino,23,2017-18,2017,0,37,11,48,*,39,48,0,48,48,0,48,10550,9035,1515,0,10550,0,*,*,0,*,*,*,0,10545,10545,0,*,
Aug17,8,2017,Merced,24,2017-18,2017,0,92,*,97,14,83,83,0,83,83,0,83,11794,11794,0,0,11794,*,*,0,0,0,*,*,0,10423,10423,0,1371,
Aug17,8,2017,Modoc,25,2017-18,2017,0,24,*,31,*,23,23,0,23,23,0,23,5320,5320,0,0,5320,0,0,0,0,0,0,0,0,0,0,0,5320,
Aug17,8,2017,Mono,26,2017-18,2017,0,*,0,*,*,*,*,0,*,*,0,*,766,766,0,0,766,0,0,0,0,0,0,0,0,0,0,0,766,
Aug17,8,2017,Monterey,27,2017-18,2017,0,310,79,389,39,350,416,*,415,417,*,415,119028,119028,0,680,118348,11,0,0,0,*,0,0,0,160,0,160,118868,
Aug17,8,2017,Napa,28,2017-18,2017,0,15,*,20,*,17,21,0,21,21,0,21,4929,0,4929,0,4929,0,0,0,0,0,0,0,0,0,0,0,4929,
Aug17,8,2017,Nevada,29,2017-18,2017,0,62,23,85,19,66,66,0,66,66,0,66,9343,8427,916,0,9343,0,*,*,0,0,*,*,0,11527,11477,50,-2184,
Aug17,8,2017,Orange,30,2017-18,2017,0,4125,1324,5449,1182,4267,4178,51,4127,4229,102,4127,1214772,1201566,13206,24569,1190203,19,27,27,0,62,25,*,16,88941,80265,8676,1125831,
Aug17,8,2017,Placer,31,2017-18,2017,0,327,129,456,140,316,428,*,426,430,*,426,77730,77730,0,838,76892,0,*,*,0,17,*,*,0,15457,15457,0,62273,
Aug17,8,2017,Plumas,32,2017-18,2017,0,26,*,35,*,30,31,0,31,31,0,31,5328,3750,1578,0,5328,0,*,*,0,0,*,0,*,4384,3808,576,944,
Aug17,8,2017,Riverside,33,2017-18,2017,0,110,11,121,*,112,112,*,111,113,*,111,23798,0,23798,361,23437,*,0,0,0,0,0,0,0,95,0,95,23703,
Aug17,8,2017,Sacramento,34,2017-18,2017,13,3671,1129,4800,1057,3743,4882,25,4857,4907,50,4857,1639177,861889,777288,6049,1633128,0,70,70,0,0,45,45,0,100078,100078,0,1539099,
Aug17,8,2017,San Benito,35,2017-18,2017,0,81,24,105,13,92,92,0,92,92,0,92,26427,26427,0,0,26427,*,0,0,0,0,*,*,*,1542,1272,270,24885,
Aug17,8,2017,San Bernardino,36,2017-18,2017,0,359,24,383,28,355,337,*,335,339,*,335,86123,86123,0,837,85286,19,*,*,0,*,*,*,*,43885,41967,1918,42238,
